"filename", "language", "Markdown", "CSS", "JavaScript", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\mats\Documents\GitHub\IOLabWeb\AnalClass.js", "JavaScript", 0, 0, 68, 0, 0, 10, 19, 97
"c:\Users\mats\Documents\GitHub\IOLabWeb\CanvasStack-2v01.js", "JavaScript", 0, 0, 149, 0, 0, 41, 18, 208
"c:\Users\mats\Documents\GitHub\IOLabWeb\FileSaver.js", "JavaScript", 0, 0, 97, 0, 0, 76, 16, 189
"c:\Users\mats\Documents\GitHub\IOLabWeb\PlotClass.js", "JavaScript", 0, 0, 1136, 0, 0, 305, 374, 1815
"c:\Users\mats\Documents\GitHub\IOLabWeb\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\mats\Documents\GitHub\IOLabWeb\calSteps.js", "JavaScript", 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\mats\Documents\GitHub\IOLabWeb\calibration.js", "JavaScript", 0, 0, 411, 0, 0, 70, 127, 608
"c:\Users\mats\Documents\GitHub\IOLabWeb\config.js", "JavaScript", 0, 0, 900, 0, 0, 41, 2, 943
"c:\Users\mats\Documents\GitHub\IOLabWeb\debug.js", "JavaScript", 0, 0, 35, 0, 0, 6, 10, 51
"c:\Users\mats\Documents\GitHub\IOLabWeb\files.js", "JavaScript", 0, 0, 115, 0, 0, 25, 37, 177
"c:\Users\mats\Documents\GitHub\IOLabWeb\globalVariables.js", "JavaScript", 0, 0, 121, 0, 0, 43, 31, 195
"c:\Users\mats\Documents\GitHub\IOLabWeb\index.html", "HTML", 0, 0, 0, 0, 243, 7, 41, 291
"c:\Users\mats\Documents\GitHub\IOLabWeb\iolab_options.js", "JavaScript", 0, 0, 511, 0, 0, 70, 162, 743
"c:\Users\mats\Documents\GitHub\IOLabWeb\iolab_pairing.js", "JavaScript", 0, 0, 71, 0, 0, 12, 26, 109
"c:\Users\mats\Documents\GitHub\IOLabWeb\iolabweb.code-workspace", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\mats\Documents\GitHub\IOLabWeb\jszip.js", "JavaScript", 0, 0, 6, 0, 0, 22, 2, 30
"c:\Users\mats\Documents\GitHub\IOLabWeb\main.js", "JavaScript", 0, 0, 259, 0, 0, 66, 74, 399
"c:\Users\mats\Documents\GitHub\IOLabWeb\process_data.js", "JavaScript", 0, 0, 677, 0, 0, 157, 195, 1029
"c:\Users\mats\Documents\GitHub\IOLabWeb\run_control.js", "JavaScript", 0, 0, 146, 0, 0, 60, 59, 265
"c:\Users\mats\Documents\GitHub\IOLabWeb\style.css", "CSS", 0, 270, 0, 0, 0, 23, 44, 337
"Total", "-", 10, 270, 4740, 8, 243, 1034, 1245, 7550